team,odds,date,site,division,market,result,conference
MIA,-225,Dec19,BetOnline,AFC East,division,,
BUF,180,Dec19,BetOnline,AFC East,division,,
BAL,-2000,Dec19,BetOnline,AFC North,division,,
CLE,900,Dec19,BetOnline,AFC North,division,,
JAX,-130,Dec19,BetOnline,AFC South,division,,
HOU,260,Dec19,BetOnline,AFC South,division,,
IND,280,Dec19,BetOnline,AFC South,division,,
TB,-175,Dec19,BetOnline,NFC South,division,,
NO,195,Dec19,BetOnline,NFC South,division,,
ATL,675,Dec19,BetOnline,NFC South,division,,
PHI,-275,Dec19,BetOnline,NFC East,division,,
DAL,215,Dec19,BetOnline,NFC East,division,,
LA,-125,Dec19,BetOnline,,make playoffs,Yes,
LA,-105,Dec19,BetOnline,,make playoffs,No,
NO,-130,Dec19,BetOnline,,make playoffs,No,
NO,100,Dec19,BetOnline,,make playoffs,Yes,
CIN,-260,Dec19,BetOnline,,make playoffs,No,
CIN,200,Dec19,BetOnline,,make playoffs,Yes,
CLE,-800,Dec19,BetOnline,,make playoffs,Yes,
CLE,550,Dec19,BetOnline,,make playoffs,No,
BUF,-220,Dec19,BetOnline,,make playoffs,Yes,
BUF,180,Dec19,BetOnline,,make playoffs,No,
ATL,-900,Dec19,BetOnline,,make playoffs,No,
ATL,550,Dec19,BetOnline,,make playoffs,Yes,
DEN,-300,Dec19,BetOnline,,make playoffs,No,
DEN,240,Dec19,BetOnline,,make playoffs,Yes,
GB,-325,Dec19,BetOnline,,make playoffs,No,
GB,250,Dec19,BetOnline,,make playoffs,Yes,
IND,-145,Dec19,BetOnline,,make playoffs,Yes,
IND,115,Dec19,BetOnline,,make playoffs,No,
SEA,-160,Dec19,BetOnline,,make playoffs,Yes,
SEA,130,Dec19,BetOnline,,make playoffs,No,
TB,-325,Dec19,BetOnline,,make playoffs,Yes,
TB,250,Dec19,BetOnline,,make playoffs,No,
SF,-120,Dec19,BetOnline,NFC West,conference,,NFC
DAL,425,Dec19,BetOnline,NFC East,conference,,NFC
PHI,450,Dec19,BetOnline,NFC East,conference,,NFC
DET,900,Dec19,BetOnline,NFC North,conference,,NFC
SEA,3300,Dec19,BetOnline,NFC West,conference,,NFC
LA,4000,Dec19,BetOnline,NFC West,conference,,NFC
TB,5500,Dec19,BetOnline,NFC South,conference,,NFC
NO,6000,Dec19,BetOnline,NFC South,conference,,NFC
MIN,6000,Dec19,BetOnline,NFC North,conference,,NFC
ATL,7500,Dec19,BetOnline,NFC South,conference,,NFC
GB,8000,Dec19,BetOnline,NFC North,conference,,NFC
CHI,30000,Dec19,BetOnline,NFC North,conference,,NFC
NYG,40000,Dec19,BetOnline,NFC East,conference,,NFC
BAL,200,Dec19,BetOnline,AFC North,conference,,AFC
KC,300,Dec19,BetOnline,AFC West,conference,,AFC
MIA,400,Dec19,BetOnline,AFC East,conference,,AFC
BUF,550,Dec19,BetOnline,AFC East,conference,,AFC
JAX,1600,Dec19,BetOnline,AFC South,conference,,AFC
CLE,1800,Dec19,BetOnline,AFC North,conference,,AFC
HOU,3300,Dec19,BetOnline,AFC South,conference,,AFC
CIN,3500,Dec19,BetOnline,AFC North,conference,,AFC
IND,5000,Dec19,BetOnline,AFC South,conference,,AFC
DEN,7500,Dec19,BetOnline,AFC West,conference,,AFC
PIT,12500,Dec19,BetOnline,AFC North,conference,,AFC
LV,25000,Dec19,BetOnline,AFC West,conference,,AFC
LAC,75000,Dec19,BetOnline,AFC West,conference,,AFC
SF,210,Dec19,BetOnline,NFC West,super bowl,,NFC
BAL,525,Dec19,BetOnline,AFC North,super bowl,,AFC
KC,725,Dec19,BetOnline,AFC West,super bowl,,AFC
MIA,850,Dec19,BetOnline,AFC East,super bowl,,AFC
DAL,900,Dec19,BetOnline,NFC East,super bowl,,NFC
PHI,950,Dec19,BetOnline,NFC East,super bowl,,NFC
BUF,1000,Dec19,BetOnline,AFC East,super bowl,,AFC
DET,2200,Dec19,BetOnline,NFC North,super bowl,,NFC
JAX,3300,Dec19,BetOnline,AFC South,super bowl,,AFC
CLE,5000,Dec19,BetOnline,AFC North,super bowl,,AFC
CIN,6600,Dec19,BetOnline,AFC North,super bowl,,AFC
HOU,7500,Dec19,BetOnline,AFC South,super bowl,,AFC
SEA,8000,Dec19,BetOnline,NFC West,super bowl,,NFC
IND,10000,Dec19,BetOnline,AFC South,super bowl,,AFC
LA,10000,Dec19,BetOnline,NFC West,super bowl,,NFC
TB,10000,Dec19,BetOnline,NFC South,super bowl,,NFC
NO,12500,Dec19,BetOnline,NFC South,super bowl,,NFC
ATL,15000,Dec19,BetOnline,NFC South,super bowl,,NFC
DEN,15000,Dec19,BetOnline,AFC West,super bowl,,AFC
GB,15000,Dec19,BetOnline,NFC North,super bowl,,NFC
MIN,15000,Dec19,BetOnline,NFC North,super bowl,,NFC
PIT,25000,Dec19,BetOnline,AFC North,super bowl,,AFC
CHI,50000,Dec19,BetOnline,NFC North,super bowl,,NFC
LV,50000,Dec19,BetOnline,AFC West,super bowl,,AFC
NYG,75000,Dec19,BetOnline,NFC East,super bowl,,NFC
LAC,150000,Dec19,BetOnline,AFC West,super bowl,,AFC
MIA,-300,Dec19,Bovada,AFC East,division,,AFC
BUF,230,Dec19,Bovada,AFC East,division,,AFC
KC,-20000,Dec19,Bovada,AFC West,division,,AFC
DEN,3000,Dec19,Bovada,AFC West,division,,AFC
LV,10000,Dec19,Bovada,AFC West,division,,AFC
DET,-20000,Dec19,Bovada,NFC North,division,,NFC
MIN,2000,Dec19,Bovada,NFC North,division,,NFC
TB,-150,Dec19,Bovada,NFC South,division,,NFC
NO,175,Dec19,Bovada,NFC South,division,,NFC
ATL,650,Dec19,Bovada,NFC South,division,,NFC
BAL,-1800,Dec19,Bovada,AFC North,division,,AFC
CLE,1000,Dec19,Bovada,AFC North,division,,AFC
JAX,-140,Dec19,Bovada,AFC South,division,,AFC
HOU,280,Dec19,Bovada,AFC South,division,,AFC
IND,300,Dec19,Bovada,AFC South,division,,AFC
BAL,200,Dec19,Bovada,AFC North,conference,,AFC
KC,275,Dec19,Bovada,AFC West,conference,,AFC
MIA,350,Dec19,Bovada,AFC East,conference,,AFC
BUF,600,Dec19,Bovada,AFC East,conference,,AFC
JAX,1500,Dec19,Bovada,AFC South,conference,,AFC
CLE,1800,Dec19,Bovada,AFC North,conference,,AFC
HOU,2800,Dec19,Bovada,AFC South,conference,,AFC
IND,5000,Dec19,Bovada,AFC South,conference,,AFC
CIN,6000,Dec19,Bovada,AFC North,conference,,AFC
DEN,6000,Dec19,Bovada,AFC West,conference,,AFC
PIT,10000,Dec19,Bovada,AFC North,conference,,AFC
NYJ,12000,Dec19,Bovada,AFC East,conference,,AFC
LV,15000,Dec19,Bovada,AFC West,conference,,AFC
LAC,40000,Dec19,Bovada,AFC West,conference,,AFC
SF,200,Dec19,Bovada,NFC West,super bowl,,NFC
BAL,550,Dec19,Bovada,AFC North,super bowl,,AFC
DAL,800,Dec19,Bovada,NFC East,super bowl,,NFC
KC,800,Dec19,Bovada,AFC West,super bowl,,AFC
PHI,850,Dec19,Bovada,NFC East,super bowl,,NFC
MIA,900,Dec19,Bovada,AFC East,super bowl,,AFC
BUF,1200,Dec19,Bovada,AFC East,super bowl,,AFC
DET,2200,Dec19,Bovada,NFC North,super bowl,,NFC
JAX,3000,Dec19,Bovada,AFC South,super bowl,,AFC
CLE,5500,Dec19,Bovada,AFC North,super bowl,,AFC
CIN,6500,Dec19,Bovada,AFC North,super bowl,,AFC
HOU,8000,Dec19,Bovada,AFC South,super bowl,,AFC
IND,10000,Dec19,Bovada,AFC South,super bowl,,AFC
SEA,10000,Dec19,Bovada,NFC West,super bowl,,NFC
LA,12500,Dec19,Bovada,NFC West,super bowl,,NFC
NO,12500,Dec19,Bovada,NFC South,super bowl,,NFC
ATL,15000,Dec19,Bovada,NFC South,super bowl,,NFC
DEN,15000,Dec19,Bovada,AFC West,super bowl,,AFC
GB,15000,Dec19,Bovada,NFC North,super bowl,,NFC
MIN,15000,Dec19,Bovada,NFC North,super bowl,,NFC
TB,15000,Dec19,Bovada,NFC South,super bowl,,NFC
PIT,25000,Dec19,Bovada,AFC North,super bowl,,AFC
CHI,50000,Dec19,Bovada,NFC North,super bowl,,NFC
LV,50000,Dec19,Bovada,AFC West,super bowl,,AFC
NYG,50000,Dec19,Bovada,NFC East,super bowl,,NFC
LAC,150000,Dec19,Bovada,AFC West,super bowl,,AFC
