team,odds,date,site,division,conference,market,result
BAL,-725,Dec06,bookmaker,AFC North,AFC,division,
CIN,1850,Dec06,bookmaker,AFC North,AFC,division,
CLE,1400,Dec06,bookmaker,AFC North,AFC,division,
PIT,950,Dec06,bookmaker,AFC North,AFC,division,
BUF,1200,Dec06,bookmaker,AFC East,AFC,division,
MIA,-3300,Dec06,bookmaker,AFC East,AFC,division,
NYJ,75000,Dec06,bookmaker,AFC East,AFC,division,
DAL,321,Dec06,bookmaker,NFC East,NFC,division,
PHI,-421,Dec06,bookmaker,NFC East,NFC,division,
CHI,25620,Dec06,bookmaker,NFC North,NFC,division,
DET,-1100,Dec06,bookmaker,NFC North,NFC,division,
GB,1129,Dec06,bookmaker,NFC North,NFC,division,
MIN,1166,Dec06,bookmaker,NFC North,NFC,division,
ATL,-151,Dec06,bookmaker,NFC South,NFC,division,
NO,295,Dec06,bookmaker,NFC South,NFC,division,
TB,367,Dec06,bookmaker,NFC South,NFC,division,
HOU,395,Dec06,bookmaker,AFC South,AFC,division,
IND,550,Dec06,bookmaker,AFC South,AFC,division,
JAX,-270,Dec06,bookmaker,AFC South,AFC,division,
BAL,272,Dec06,bookmaker,AFC North,AFC,conference,
BUF,1406,Dec06,bookmaker,AFC East,AFC,conference,
CIN,3305,Dec06,bookmaker,AFC North,AFC,conference,
CLE,4356,Dec06,bookmaker,AFC North,AFC,conference,
DEN,4838,Dec06,bookmaker,AFC West,AFC,conference,
HOU,2117,Dec06,bookmaker,AFC South,AFC,conference,
IND,5040,Dec06,bookmaker,AFC South,AFC,conference,
JAX,932,Dec06,bookmaker,AFC South,AFC,conference,
KC,262,Dec06,bookmaker,AFC West,AFC,conference,
LV,25207,Dec06,bookmaker,AFC West,AFC,conference,
LAC,5508,Dec06,bookmaker,AFC West,AFC,conference,
MIA,264,Dec06,bookmaker,AFC East,AFC,conference,
NE,252234,Dec06,bookmaker,AFC East,AFC,conference,
NYJ,40335,Dec06,bookmaker,AFC East,AFC,conference,
PIT,3174,Dec06,bookmaker,AFC North,AFC,conference,
TEN,24250,Dec06,bookmaker,AFC South,AFC,conference,
ARI,135000,Dec06,bookmaker,NFC West,NFC,conference,
ATL,5052,Dec06,bookmaker,NFC South,NFC,conference,
CHI,62500,Dec06,bookmaker,NFC North,NFC,conference,
DAL,425,Dec06,bookmaker,NFC East,NFC,conference,
DET,660,Dec06,bookmaker,NFC North,NFC,conference,
GB,3500,Dec06,bookmaker,NFC North,NFC,conference,
LA,3950,Dec06,bookmaker,NFC West,NFC,conference,
MIN,6300,Dec06,bookmaker,NFC North,NFC,conference,
NO,7000,Dec06,bookmaker,NFC South,NFC,conference,
NYG,80000,Dec06,bookmaker,NFC East,NFC,conference,
PHI,265,Dec06,bookmaker,NFC East,NFC,conference,
SF,126,Dec06,bookmaker,NFC West,NFC,conference,
SEA,4800,Dec06,bookmaker,NFC West,NFC,conference,
TB,11000,Dec06,bookmaker,NFC South,NFC,conference,
WAS,135000,Dec06,bookmaker,NFC East,NFC,conference,
ARI,254807,Dec06,bookmaker,NFC West,NFC,super bowl,
ATL,8644,Dec06,bookmaker,NFC South,NFC,super bowl,
BAL,686,Dec06,bookmaker,AFC North,AFC,super bowl,
BUF,3092,Dec06,bookmaker,AFC East,AFC,super bowl,
CHI,122254,Dec06,bookmaker,NFC North,NFC,super bowl,
CIN,6300,Dec06,bookmaker,AFC North,AFC,super bowl,
CLE,9153,Dec06,bookmaker,AFC North,AFC,super bowl,
DAL,925,Dec06,bookmaker,NFC East,NFC,super bowl,
DEN,11677,Dec06,bookmaker,AFC West,AFC,super bowl,
DET,1475,Dec06,bookmaker,NFC North,NFC,super bowl,
GB,7524,Dec06,bookmaker,NFC North,NFC,super bowl,
HOU,4490,Dec06,bookmaker,AFC South,AFC,super bowl,
IND,11697,Dec06,bookmaker,AFC South,AFC,super bowl,
JAX,2135,Dec06,bookmaker,AFC South,AFC,super bowl,
KC,641,Dec06,bookmaker,AFC West,AFC,super bowl,
LV,50907,Dec06,bookmaker,AFC West,AFC,super bowl,
LAC,12541,Dec06,bookmaker,AFC West,AFC,super bowl,
LA,8026,Dec06,bookmaker,NFC West,NFC,super bowl,
MIA,646,Dec06,bookmaker,AFC East,AFC,super bowl,
MIN,13224,Dec06,bookmaker,NFC North,NFC,super bowl,
NE,510104,Dec06,bookmaker,AFC East,AFC,super bowl,
NO,15768,Dec06,bookmaker,NFC South,NFC,super bowl,
NYG,152829,Dec06,bookmaker,NFC East,NFC,super bowl,
NYJ,81473,Dec06,bookmaker,AFC East,AFC,super bowl,
PHI,597,Dec06,bookmaker,NFC East,NFC,super bowl,
PIT,7118,Dec06,bookmaker,AFC North,AFC,super bowl,
SF,276,Dec06,bookmaker,NFC West,NFC,super bowl,
SEA,10171,Dec06,bookmaker,NFC West,NFC,super bowl,
TB,22895,Dec06,bookmaker,NFC South,NFC,super bowl,
TEN,152829,Dec06,bookmaker,AFC South,AFC,super bowl,
WAS,254807,Dec06,bookmaker,NFC East,NFC,super bowl,
BAL,-600,Dec06,BetOnline,AFC North,,division,
PIT,650,Dec06,BetOnline,AFC North,,division,
CLE,850,Dec06,BetOnline,AFC North,,division,
CIN,10000,Dec06,BetOnline,AFC North,,division,
MIA,-2500,Dec06,BetOnline,AFC East,,division,
BUF,1000,Dec06,BetOnline,AFC East,,division,
JAX,-200,Dec06,BetOnline,AFC South,,division,
HOU,325,Dec06,BetOnline,AFC South,,division,
IND,450,Dec06,BetOnline,AFC South,,division,
KC,-5000,Dec06,BetOnline,AFC West,,division,
DEN,2000,Dec06,BetOnline,AFC West,,division,
LAC,2000,Dec06,BetOnline,AFC West,,division,
LV,6600,Dec06,BetOnline,AFC West,,division,
PHI,-400,Dec06,BetOnline,NFC East,,division,
DAL,300,Dec06,BetOnline,NFC East,,division,
DET,-1100,Dec06,BetOnline,NFC North,,division,
MIN,800,Dec06,BetOnline,NFC North,,division,
GB,1400,Dec06,BetOnline,NFC North,,division,
CHI,15000,Dec06,BetOnline,NFC North,,division,
ATL,-170,Dec06,BetOnline,NFC South,,division,
NO,325,Dec06,BetOnline,NFC South,,division,
TB,350,Dec06,BetOnline,NFC South,,division,
SF,-20000,Dec06,BetOnline,NFC West,,division,
LA,2200,Dec06,BetOnline,NFC West,,division,
SEA,2800,Dec06,BetOnline,NFC West,,division,
ATL,-210,Dec06,BetOnline,,,make playoffs,Yes
ATL,170,Dec06,BetOnline,,,make playoffs,No
BAL,-20000,Dec06,BetOnline,,,make playoffs,Yes
BAL,2500,Dec06,BetOnline,,,make playoffs,No
BUF,-500,Dec06,BetOnline,,,make playoffs,No
BUF,350,Dec06,BetOnline,,,make playoffs,Yes
CHI,-10000,Dec06,BetOnline,,,make playoffs,No
CHI,2000,Dec06,BetOnline,,,make playoffs,Yes
CIN,-1400,Dec06,BetOnline,,,make playoffs,No
CIN,750,Dec06,BetOnline,,,make playoffs,Yes
CLE,-190,Dec06,BetOnline,,,make playoffs,Yes
CLE,155,Dec06,BetOnline,,,make playoffs,No
DEN,-450,Dec06,BetOnline,,,make playoffs,No
DEN,325,Dec06,BetOnline,,,make playoffs,Yes
DET,-10000,Dec06,BetOnline,,,make playoffs,Yes
DET,2000,Dec06,BetOnline,,,make playoffs,No
GB,-250,Dec06,BetOnline,,,make playoffs,Yes
GB,195,Dec06,BetOnline,,,make playoffs,No
HOU,-400,Dec06,BetOnline,,,make playoffs,Yes
HOU,300,Dec06,BetOnline,,,make playoffs,No
IND,-200,Dec06,BetOnline,,,make playoffs,Yes
IND,160,Dec06,BetOnline,,,make playoffs,No
JAX,-3000,Dec06,BetOnline,,,make playoffs,Yes
JAX,1400,Dec06,BetOnline,,,make playoffs,No
KC,-20000,Dec06,BetOnline,,,make playoffs,Yes
KC,2500,Dec06,BetOnline,,,make playoffs,No
LV,-10000,Dec06,BetOnline,,,make playoffs,No
LV,2000,Dec06,BetOnline,,,make playoffs,Yes
LAC,-1000,Dec06,BetOnline,,,make playoffs,No
LAC,700,Dec06,BetOnline,,,make playoffs,Yes
LA,-180,Dec06,BetOnline,,,make playoffs,No
LA,150,Dec06,BetOnline,,,make playoffs,Yes
MIA,-20000,Dec06,BetOnline,,,make playoffs,Yes
MIA,2500,Dec06,BetOnline,,,make playoffs,No
MIN,-135,Dec06,BetOnline,,,make playoffs,No
MIN,105,Dec06,BetOnline,,,make playoffs,Yes
NO,-300,Dec06,BetOnline,,,make playoffs,No
NO,240,Dec06,BetOnline,,,make playoffs,Yes
PIT,-140,Dec06,BetOnline,,,make playoffs,Yes
PIT,110,Dec06,BetOnline,,,make playoffs,No
SEA,-230,Dec06,BetOnline,,,make playoffs,No
SEA,190,Dec06,BetOnline,,,make playoffs,Yes
TB,-280,Dec06,BetOnline,,,make playoffs,No
TB,220,Dec06,BetOnline,,,make playoffs,Yes
KC,250,Dec06,BetOnline,AFC West,AFC,conference,
BAL,250,Dec06,BetOnline,AFC North,AFC,conference,
MIA,350,Dec06,BetOnline,AFC East,AFC,conference,
JAX,900,Dec06,BetOnline,AFC South,AFC,conference,
BUF,1400,Dec06,BetOnline,AFC East,AFC,conference,
HOU,2200,Dec06,BetOnline,AFC South,AFC,conference,
CLE,3300,Dec06,BetOnline,AFC North,AFC,conference,
PIT,4000,Dec06,BetOnline,AFC North,AFC,conference,
CIN,5000,Dec06,BetOnline,AFC North,AFC,conference,
LAC,5000,Dec06,BetOnline,AFC West,AFC,conference,
DEN,5000,Dec06,BetOnline,AFC West,AFC,conference,
IND,5000,Dec06,BetOnline,AFC South,AFC,conference,
NYJ,15000,Dec06,BetOnline,AFC East,AFC,conference,
LV,20000,Dec06,BetOnline,AFC West,AFC,conference,
TEN,25000,Dec06,BetOnline,AFC South,AFC,conference,
NE,100000,Dec06,BetOnline,AFC East,AFC,conference,
SF,150,Dec06,BetOnline,NFC West,NFC,conference,
PHI,260,Dec06,BetOnline,NFC East,NFC,conference,
DAL,400,Dec06,BetOnline,NFC East,NFC,conference,
DET,650,Dec06,BetOnline,NFC North,NFC,conference,
GB,4000,Dec06,BetOnline,NFC North,NFC,conference,
SEA,4000,Dec06,BetOnline,NFC West,NFC,conference,
ATL,4000,Dec06,BetOnline,NFC South,NFC,conference,
LA,5000,Dec06,BetOnline,NFC West,NFC,conference,
MIN,5000,Dec06,BetOnline,NFC North,NFC,conference,
NO,6600,Dec06,BetOnline,NFC South,NFC,conference,
TB,8000,Dec06,BetOnline,NFC South,NFC,conference,
CHI,40000,Dec06,BetOnline,NFC North,NFC,conference,
NYG,50000,Dec06,BetOnline,NFC East,NFC,conference,
ARI,75000,Dec06,BetOnline,NFC West,NFC,conference,
WAS,75000,Dec06,BetOnline,NFC East,NFC,conference,
SF,280,Dec06,BetOnline,NFC West,NFC,super bowl,
KC,575,Dec06,BetOnline,AFC West,AFC,super bowl,
PHI,575,Dec06,BetOnline,NFC East,NFC,super bowl,
BAL,600,Dec06,BetOnline,AFC North,AFC,super bowl,
