Team,PR
KC,5.680591211990989
BUF,4.334226748878724
PHI,4.265129068105093
CIN,3.656044548082259
SF,3.1860853372550544
DAL,2.8150335383730942
MIA,2.4994997283594693
NYJ,2.4122745399172656
LAC,2.1584165365303556
BAL,2.0245733902095724
HFA,1.4308035714285694
DET,1.041993103770079
JAX,0.9630660624765741
SEA,0.587696256434271
DEN,0.5487457869491196
CLE,0.49153580645748274
MIN,0.18304340737142677
PIT,0.044005184598169995
NE,-0.4115647084077079
NO,-0.5844761664046905
NYG,-0.6565417861662788
LV,-1.4490360911915816
GB,-1.5702857383572297
CHI,-1.8888250494962542
WAS,-1.9135233083605785
ATL,-2.1463676550981443
LA,-2.593458213833726
CAR,-2.8442764700060197
TEN,-2.87668608367083
TB,-3.9556863841601153
IND,-3.9661424802369774
HOU,-4.698835895228607
ARI,-5.3362542251402605
mean_score,22.671875
